Id;Importe
0;41,27
1;155,3
2;259,44
3;106,53
4;232,71
5;173,12
6;143,79
7;63,48
8;110,86
9;146,91
10;93,53
11;164,66
12;86,38
13;209,69
14;191,4
15;117,0
16;89,29
17;239,95
18;94,71
19;61,56
20;348,49
21;331,83
22;106,57
23;73,32
24;140,49
25;226,28
26;198,59
27;296,07
28;101,67
29;129,49
30;143,91
31;50,12
32;77,43
33;209,64
34;201,05
35;93,65
36;265,52
37;42,85
38;52,95
39;57,27
40;88,55
41;81,87
42;125,58
43;84,79
44;284,7
45;41,71
46;67,06
47;156,76
48;44,99
49;317,26
50;58,91
51;88,25
52;68,92
53;73,99
54;133,92
55;172,42
56;72,4
57;275,78
58;118,85
59;71,15
60;71,51
61;126,48
62;145,32
63;126,08
64;44,37
65;64,52
66;184,3
67;199,25
68;239,53
69;50,47
70;38,95
71;157,62
72;101,31
73;80,79
74;453,43
75;88,19
76;201,05
77;54,63
78;180,55
79;62,1
80;193,52
81;193,12
82;46,35
83;221,72
84;204,7
85;163,94
86;133,92
87;127,26
88;86,64
89;58,48
90;42,43
91;157,92
92;410,24
93;98,46
94;398,81
95;125,24
96;119,12
97;125,31
98;111,18
99;25,87
100;42,47
101;60,87
102;19,02
103;127,67
104;106,77
105;93,99
106;135,94
107;126,77
108;152,83
109;77,62
110;55,0
111;132,76
112;95,58
113;58,98
114;99,17
115;55,89
116;341,33
117;193,92
118;36,17
119;114,77
120;47,12
121;456,92
122;51,6
123;62,39
124;107,46
125;50,57
126;227,99
127;123,47
128;220,27
129;202,23
130;48,41
131;58,69
132;284,07
133;228,47
134;57,83
135;113,15
136;48,11
137;133,84
138;200,62
139;164,09
140;51,02
141;83,31
142;204,8
143;94,71
144;465,11
145;100,57
146;84,59
147;202,68
148;141,24
149;100,25
150;535,96
151;112,58
152;167,94
153;148,31
154;102,08
155;60,43
156;367,68
157;79,12
158;249,87
159;108,09
160;124,3
161;88,62
162;201,39
163;45,11
164;427,94
165;49,98
166;135,75
167;228,05
168;34,89
169;118,86
170;151,26
171;43,0
172;143,91
173;81,01
174;115,4
175;440,87
176;174,08
177;123,71
178;96,06
179;52,88
180;90,24
181;109,01
182;163,34
183;62,52
184;273,59
185;108,04
186;80,01
187;85,95
188;199,35
189;164,74
190;384,93
191;172,99
192;262,33
193;465,97
194;93,65
195;188,56
196;111,9
197;238,07
198;85,49
199;339,17
200;183,29
201;70,38
202;181,86
203;94,78
204;133,32
205;286,26
206;300,99
207;41,65
208;150,05
209;100,84
210;174,56
211;98,62
212;169,09
213;50,54
214;161,82
215;73,98
216;163,45
217;112,99
218;274,32
219;358,47
220;82,2
221;1121,97
222;160,17
223;153,79
224;102,63
225;50,71
226;84,15
227;116,59
228;228,57
229;67,06
230;62,5
231;107,28
232;85,75
233;67,08
234;132,18
235;85,34
236;254,97
237;224,85
238;29,7
239;100,27
240;112,67
241;270,1
242;84,04
243;105,02
244;258,53
245;260,58
246;195,0
247;55,44
248;327,8
249;111,54
250;98,5
251;167,31
252;314,2
253;145,66
254;122,05
255;211,65
256;536,2
257;68,94
258;134,17
259;624,24
260;161,4
261;37,89
262;280,71
263;94,27
264;55,91
265;186,94
266;103,47
267;96,89
268;88,98
269;210,52
270;127,01
271;326,81
272;157,97
273;92,2
274;241,88
275;250,69
276;32,38
277;202,17
278;104,35
279;169,45
280;168,12
281;695,01
282;448,99
283;200,67
284;86,04
285;74,68
286;111,75
287;172,33
288;105,57
289;72,69
290;335,57
291;62,57
292;202,02
293;58,48
294;139,77
295;71,79
296;134,67
297;68,14
298;37,98
299;140,3
300;88,32
301;120,9
302;932,64
303;1032,63
304;345,06
305;237,41
306;402,0
307;101,03
308;171,43
309;63,16
310;180,13
311;132,04
312;159,39
313;291,08
314;360,34
315;102,52
316;135,17
317;333,12
318;116,74
319;235,98
320;219,31
321;132,22
322;54,03
323;145,37
324;266,71
325;93,12
326;60,85
327;146,3
328;156,09
329;114,97
330;89,61
331;86,31
332;69,4
333;160,88
334;52,96
335;42,28
336;138,21
337;482,42
338;700,46
339;35,83
340;175,95
341;176,32
342;230,13
343;276,52
344;108,73
345;106,54
346;125,8
347;169,44
348;36,2
349;87,43
350;59,84
351;123,33
352;154,16
353;99,11
354;215,56
355;106,93
356;321,27
357;97,06
358;153,59
359;82,6
360;123,5
361;234,43
362;115,15
363;112,18
364;206,21
365;249,58
366;96,72
367;175,57
368;32,41
369;147,66
370;55,89
371;225,14
372;36,79
373;126,93
374;57,96
375;140,82
376;87,0
377;711,09
378;135,29
379;63,67
380;183,14
381;63,82
382;47,84
383;153,98
384;35,59
385;138,96
386;111,61
387;263,62
388;94,4
389;199,6
390;113,32
391;118,37
392;101,06
393;114,64
394;132,56
395;140,96
396;34,15
397;205,34
398;107,85
399;59,04
400;110,28
401;72,75
402;126,88
403;112,21
404;63,49
405;144,22
406;72,16
407;162,93
408;29,03
409;138,52
410;86,64
411;97,07
412;320,73
413;99,65
414;156,65
415;240,19
416;327,84
417;65,67
418;255,43
419;69,48
420;58,73
421;298,57
422;80,07
423;145,91
424;240,35
425;348,04
426;120,73
427;106,83
428;97,23
429;122,37
430;240,44
431;35,45
432;104,82
433;203,0
434;200,25
435;41,97
436;240,05
437;129,82
438;69,18
439;63,78
440;83,91
441;103,22
442;241,46
443;69,32
444;55,66
445;68,74
446;102,15
447;33,39
448;279,44
449;127,47
450;189,04
451;178,02
452;136,28
453;100,96
454;53,6
455;96,32
456;116,75
457;174,07
458;229,03
459;267,84
460;67,36
461;119,19
462;156,3
463;128,94
464;282,24
465;105,54
466;289,15
467;105,51
468;92,85
469;50,67
470;208,19
471;294,8
472;210,85
473;106,11
474;201,95
475;80,01
476;269,2
477;38,92
478;99,0
479;46,9
480;93,9
481;60,82
482;114,69
483;186,81
484;123,93
485;158,6
486;107,61
487;232,39
488;249,88
489;52,04
490;236,99
491;217,23
492;241,15
493;151,4
494;54,94
495;213,85
496;105,43
497;151,34
498;29,65
499;201,97
500;217,7
501;489,73
502;282,72
503;114,21
504;359,0
505;52,16
506;1438,77
507;876,62
508;211,55
509;71,67
510;136,58
511;196,28
512;156,97
513;196,31
514;245,96
515;91,35
516;135,98
517;118,61
518;143,16
519;193,83
520;37,33
521;134,57
522;379,88
523;97,3
524;69,25
525;81,59
526;196,53
527;40,23
528;144,08
529;16,37
530;328,06
531;119,61
532;296,82
533;87,75
534;148,82
535;571,81
536;65,89
537;227,06
538;30,61
539;24,31
540;193,37
541;128,31
542;91,2
543;124,22
544;90,06
545;151,36
546;204,0
547;233,73
548;126,4
549;210,08
550;193,23
551;160,34
552;90,45
553;21,88
554;110,68
555;107,78
556;45,34
557;206,29
558;126,02
559;53,21
560;216,33
561;206,32
562;263,4
563;59,75
564;175,77
565;73,3
566;20,24
567;89,44
568;102,0
569;497,88
570;153,93
571;312,73
572;94,76
573;222,64
574;61,23
575;253,22
576;57,49
577;294,89
578;118,16
579;80,5
580;65,75
581;217,03
582;69,83
583;149,98
584;89,2
585;138,83
586;126,33
587;83,8
588;66,19
589;54,45
590;165,88
591;137,33
592;399,91
593;136,56
594;40,87
595;312,65
596;60,66
597;200,54
598;92,88
599;205,76
600;111,39
601;66,21
602;69,06
603;68,74
604;78,85
605;462,38
606;136,25
607;142,04
608;279,52
609;66,21
610;78,61
611;82,93
612;76,01
613;375,0
614;94,23
615;57,0
616;103,91
617;82,29
618;62,61
619;178,76
620;36,48
621;147,74
622;331,23
623;570,42
624;334,91
625;109,94
626;116,67
627;256,53
628;236,94
629;70,09
630;30,46
631;93,25
632;350,53
633;119,13
634;51,68
635;76,27
636;194,56
637;168,65
638;105,19
639;140,52
640;100,85
641;114,23
642;49,93
643;54,09
644;79,69
645;85,15
646;63,39
647;176,58
648;175,87
649;267,07
650;119,06
651;80,58
652;68,62
653;29,71
654;143,11
655;56,1
656;230,13
657;173,57
658;181,63
659;255,88
660;116,66
661;120,48
662;73,31
663;77,59
664;92,08
665;174,25
666;105,72
667;156,31
668;144,04
669;98,75
670;668,42
671;136,01
672;208,79
673;33,77
674;101,53
675;149,77
676;222,82
677;71,35
678;190,21
679;46,9
680;87,91
681;109,48
682;400,82
683;124,05
684;332,38
685;31,33
686;70,46
687;143,06
688;67,81
689;236,9
690;65,84
691;221,74
692;70,11
693;93,98
694;241,63
695;77,47
696;163,55
697;130,37
698;118,22
699;430,98
700;179,11
701;117,21
702;130,6
703;59,9
704;153,76
705;179,04
706;221,25
707;410,39
708;164,19
709;58,8
710;144,25
711;87,16
712;78,62
713;79,64
714;129,58
715;74,2
716;151,79
717;39,13
718;20,02
719;113,06
720;47,39
721;86,69
722;37,39
723;35,02
724;145,42
725;90,59
726;121,24
727;122,26
728;78,86
729;326,98
730;157,11
731;639,26
732;341,57
733;193,22
734;123,57
735;86,05
736;78,72
737;136,1
738;231,27
739;63,95
740;122,76
741;56,56
742;133,73
743;176,22
744;234,17
745;149,94
746;83,56
747;98,36
748;126,3
749;109,46
750;153,22
751;144,92
752;237,72
753;52,65
754;148,92
755;68,26
756;105,99
757;53,93
758;127,99
759;49,82
760;74,01
761;533,77
762;186,04
763;228,53
764;73,91
765;260,67
766;102,62
767;88,83
768;176,02
769;136,65
770;273,83
771;55,38
772;76,25
773;93,05
774;132,91
775;93,51
776;118,87
777;102,18
778;223,78
779;87,61
780;96,41
781;130,51
782;117,41
783;145,45
784;56,01
785;132,46
786;112,29
787;71,34
788;44,09
789;139,19
790;114,55
791;119,47
792;97,88
793;292,97
794;63,03
795;120,1
796;90,87
797;34,11
798;132,1
799;53,86
800;201,81
801;210,68
802;158,98
803;174,22
804;93,84
805;193,21
806;223,38
807;254,02
808;278,25
809;49,71
810;153,21
811;26,71
812;231,54
813;83,22
814;150,47
815;93,17
816;159,69
817;191,37
818;62,64
819;89,53
820;103,08
821;203,66
822;107,66
823;111,69
824;532,57
825;25,2
826;179,09
827;130,96
828;200,78
829;223,09
830;276,26
831;71,38
832;263,18
833;169,37
834;86,03
835;215,79
836;49,19
837;188,94
838;113,55
839;292,65
840;82,32
841;96,47
842;100,88
843;97,24
844;49,64
845;124,14
846;76,93
847;213,08
848;206,4
849;54,26
850;126,05
851;137,74
852;75,97
853;297,3
854;125,32
855;166,55
856;96,64
857;192,78
858;776,45
859;86,13
860;157,53
861;153,38
862;180,76
863;124,33
864;41,96
865;65,29
866;175,4
867;43,96
868;190,94
869;149,28
870;161,31
871;182,23
872;121,5
873;188,11
874;61,21
875;144,1
876;133,65
877;66,3
878;111,1
879;443,02
880;179,63
881;52,54
882;60,05
883;245,5
884;43,82
885;318,55
886;69,24
887;135,76
888;122,57
889;118,25
890;184,85
891;777,33
892;381,0
893;249,5
894;30,77
895;123,12
896;273,65
897;93,64
898;480,06
899;145,59
900;120,44
901;71,87
902;115,65
903;222,68
904;116,78
905;78,85
906;343,4
907;233,66
908;91,76
909;186,25
910;93,8
911;183,84
912;72,86
913;120,76
914;249,41
915;38,82
916;96,27
917;96,08
918;54,81
919;60,87
920;40,04
921;82,22
922;628,15
923;44,31
924;125,5
925;176,16
926;114,97
927;98,34
928;427,22
929;64,62
930;104,32
931;85,54
932;98,12
933;66,95
934;52,68
935;74,2
936;43,1
937;69,97
938;176,37
939;328,33
940;266,84
941;57,63
942;34,7
943;129,33
944;89,0
945;133,78
946;184,54
947;221,74
948;355,99
949;73,3
950;120,08
951;170,38
952;195,29
953;63,41
954;162,45
955;100,46
956;274,16
957;133,46
958;32,2
959;81,07
960;59,18
961;264,08
962;63,64
963;78,08
964;71,33
965;91,31
966;174,57
967;103,26
968;156,58
969;289,87
970;145,34
971;139,37
972;253,55
973;123,92
974;281,68
975;61,11
976;202,11
977;62,34
978;103,18
979;323,12
980;137,12
981;417,28
982;102,97
983;93,58
984;27,54
985;72,42
986;89,11
987;56,19
988;65,39
989;175,8
990;370,69
991;140,02
992;93,65
993;153,73
994;192,52
995;78,33
996;289,54
997;224,84
998;143,06
999;289,9
1000;109,37
1001;81,42
1002;136,17
1003;112,65
1004;250,83
1005;86,26
1006;240,4
1007;75,95
1008;348,22
1009;382,71
1010;127,13
1011;80,55
1012;436,72
1013;57,71
1014;61,05
1015;619,37
1016;78,39
1017;146,44
1018;96,59
1019;89,45
1020;194,74
1021;131,04
1022;117,94
1023;74,81
1024;443,56
1025;75,77
1026;279,75
1027;135,16
1028;114,05
1029;130,12
1030;127,48
1031;41,55
1032;132,04
1033;91,59
1034;22,98
1035;187,99
1036;114,03
1037;209,0
1038;107,05
1039;80,42
1040;166,12
1041;74,22
1042;96,87
1043;300,65
1044;181,0
1045;106,82
1046;153,91
1047;257,81
1048;196,69
1049;294,06
1050;112,0
1051;127,55
1052;72,49
1053;306,82
1054;108,99
1055;65,71
1056;78,93
1057;272,0
1058;61,25
1059;85,39
1060;148,02
1061;65,19
1062;348,82
1063;131,42
1064;87,15
1065;113,8
1066;113,64
1067;71,23
1068;149,89
1069;149,82
1070;151,87
1071;82,43
1072;115,47
1073;70,51
1074;131,47
1075;170,4
1076;29,73
1077;50,33
1078;181,9
1079;115,47
1080;88,95
1081;72,05
1082;142,77
1083;82,74
1084;202,84
1085;63,9
1086;108,05
1087;412,36
1088;88,25
1089;146,51
1090;147,65
1091;161,54
1092;45,31
1093;120,3
1094;80,36
1095;137,49
1096;118,99
1097;135,32
1098;66,42
1099;106,29
1100;318,95
1101;168,97
1102;111,12
1103;243,68
1104;75,99
1105;288,2
1106;112,08
1107;38,83
1108;78,99
1109;123,91
1110;180,99
1111;63,1
1112;196,55
1113;144,01
